sub,day,meditation_type,time_name,pick,sample_n,mean_std,mean_odd,mmn
2,day3,jhana,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",219,-2.3372294058376313,-3.640391540798112,1.3031621349604805
2,day3,jhana,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",219,-2.0082293701306413,-2.981982534993664,0.9737531648630227
2,day2,jhana,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",367,0.01160068971394252,-2.179644783009553,2.1912454727234953
2,day2,jhana,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",367,-0.1041317419772663,-1.8133370331391003,1.709205291161834
2,day4,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",296,0.4354437260222304,-1.6958232123157846,2.131266938338015
2,day4,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",296,0.6899318244602965,-2.2015808383034368,2.8915126627637333
2,day1,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",337,-1.0554763006406087,-0.39382325822850023,-0.6616530424121085
2,day1,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",337,-0.9538729666570331,-2.0460309813238906,1.0921580146668575
2,day2,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",358,-1.230428958057293,-2.662936295325918,1.4325073372686252
2,day2,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",358,-0.5766345995877241,-2.206606937361082,1.6299723377733577
2,day3,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",347,-1.3547412419687672,-0.7488145284000093,-0.6059267135687579
2,day3,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",347,-1.302243179871049,-1.4406008176306675,0.1383576377596185
3,day3,jhana,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",276,-1.7463147217044326,4.125601482353726,-5.871916204058159
3,day3,jhana,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",276,-0.8396419935911261,3.6811128490461447,-4.52075484263727
3,day1,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",170,-2.958260228306294,-2.8152457556027444,-0.1430144727035496
3,day1,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",170,-1.877734113565978,-0.5525498112825112,-1.3251843022834668
3,day3,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",209,0.7245759522042828,-0.5631305523109666,1.2877065045152496
3,day3,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",209,-0.3337953027972127,-1.4583366144177203,1.1245413116205076
3,day4,mindfulness,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",255,-1.272163263250075,1.1439970435337337,-2.4161603067838087
3,day4,mindfulness,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",255,0.7668471043446007,0.6902260012419574,0.07662110310264325
4,day3,jhana,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",321,-1.8270810140535558,-1.779463892001848,-0.04761712205170787
4,day3,jhana,early_long,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",321,-1.5222105221910727,-2.001220956528006,0.47901043433693347
4,day4,jhana,early_short,"['Fz', 'Cz', 'Fpz', 'F3', 'F4', 'AF3', 'AF4', 'FC1', 'FC2']",289,4.272335646480584,-2.7210067556841135,6.993342402164697
