sub,day,condition,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,average_corr,delta,theta,alpha,beta,gamma
6,day4,jhana,0.5243,0.8131,0.6591,0.9211,0.3637,2.5294,0.78,22.3475,3.9481,20.862,2.2023,1.5099
6,day4,mindfulness,0.3153,0.7628,0.5022,0.5405,0.1708,4.2436,0.83,41.2251,6.039,19.8173,1.0183,0.3548
control_7,control,mindfulness,0.3965,0.7293,0.561,0.6241,0.2245,2.725,0.4833,29.9585,8.2243,13.3733,1.0368,0.1608
7,day1,jhana,0.5307,0.8204,0.6582,0.9513,0.3659,2.4481,0.4804,9.2638,1.3606,2.33,0.9631,0.5158
7,day1,mindfulness,0.5182,0.821,0.644,0.9339,0.3544,2.5697,0.4427,10.4499,1.3644,2.9826,0.9609,0.4241
7,day2,jhana,0.4335,0.8188,0.584,0.7929,0.2768,3.2498,0.6232,22.2896,1.9022,2.4509,0.876,0.5508
7,day2,mindfulness,0.3457,0.8397,0.4721,0.671,0.2627,6.6561,0.5766,351.5059,20.8548,7.5922,1.2193,0.2539
7,day3,jhana,0.562,0.8249,0.6848,1.0085,0.3922,2.2676,0.527,13.1965,1.7754,2.4528,0.8399,0.4946
7,day3,mindfulness,0.5148,0.807,0.6512,0.8977,0.3409,2.4503,0.5288,6.4806,1.3724,4.4953,0.8734,0.3905
7,day4,jhana,0.6033,0.8181,0.7015,1.0417,0.4227,2.0052,0.5446,2.0241,0.7519,1.6134,0.4138,0.278
7,day4,mindfulness,0.4526,0.7773,0.6152,0.7496,0.2778,2.6682,0.6338,4.7772,1.2232,4.9284,0.654,0.1755
control_8,control,mindfulness,0.4063,0.7691,0.5846,0.6663,0.2363,3.0897,0.4912,6.4095,1.9749,1.4622,0.3926,0.0689
8,day1,jhana,0.5159,0.8019,0.6474,0.8742,0.3386,2.4167,0.4611,18.4197,3.0413,13.438,1.4499,0.6331
8,day1,mindfulness,0.4759,0.7939,0.6246,0.7944,0.3005,2.8196,0.428,47.7449,4.4904,12.1014,1.5072,0.6198
8,day2,jhana,0.4127,0.8163,0.581,0.7195,0.276,3.9607,0.563,70.6941,5.2044,5.1146,1.2177,1.0744
8,day2,mindfulness,0.4124,0.7885,0.5794,0.695,0.2582,3.4021,0.5143,15.3778,2.7734,8.3185,0.9994,0.3558
8,day3,jhana,0.4762,0.8006,0.6192,0.8058,0.3097,2.9191,0.4761,379.6261,42.2025,20.5498,3.6983,0.9739
8,day3,mindfulness,0.4252,0.7872,0.5979,0.7224,0.2637,3.0205,0.5455,16.2877,2.3357,8.78,1.2149,0.2742
8,day4,jhana,0.3516,0.7877,0.5409,0.6123,0.206,4.0357,0.7359,31.6303,3.0914,8.4682,1.0361,0.3013
8,day4,mindfulness,0.3789,0.7884,0.5739,0.6611,0.2305,3.5117,0.6773,16.2694,2.349,7.4688,0.8478,0.2288
control_9,control,mindfulness,0.4465,0.7845,0.5867,0.7426,0.273,2.918,0.4014,511.247,11.7559,9.9448,1.9105,0.5389
9,day1,jhana,0.4049,0.7973,0.5596,0.7135,0.2452,3.3558,0.6315,11.6618,1.2183,2.045,0.3635,0.2425
9,day1,mindfulness,0.417,0.773,0.5683,0.7011,0.2506,3.0862,0.5513,7.9814,1.2543,6.1527,0.3739,0.178
9,day2,jhana,0.4833,0.793,0.613,0.82,0.3079,2.5916,0.4529,5.7282,1.4174,4.1927,0.4922,0.2126
9,day2,mindfulness,0.4408,0.7748,0.5684,0.7358,0.269,2.7864,0.4169,6.0985,1.2917,4.468,0.3162,0.1136
9,day3,jhana,0.4876,0.8049,0.6121,0.8539,0.3169,2.6429,0.4293,7.5189,2.0405,1.8742,0.6355,0.3009
9,day3,mindfulness,0.4778,0.7781,0.5937,0.7899,0.3011,2.5089,0.4332,4.6875,1.2439,7.3723,0.4271,0.1886
9,day4,jhana,0.4987,0.7911,0.6202,0.8348,0.3195,2.4719,0.3783,5.531,0.9743,7.4119,0.4775,0.2309
9,day4,mindfulness,0.4728,0.7752,0.5948,0.7801,0.2964,2.5094,0.4276,7.0773,0.8635,6.247,0.3147,0.1301
