sub,day,condition,button,jhana,ch_name,n_epochs,n_channels,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma
0,day1,jhana,all,all,P8,369,30,0.5558,0.9573,0.5869,1.242,0.4095,3.422,2.03,7.9098,1.2415,0.9573,0.6365,17.2074,3.7568,39.6544,2.5438,0.3066
0,day1,jhana,all,all,POz,369,30,0.5189,0.9239,0.5549,1.1368,0.3643,3.4252,1.9047,8.249,1.1363,0.9239,0.6115,14.9249,5.9372,53.4087,3.3581,0.2875
0,day1,jhana,all,all,O1,369,30,0.5752,0.9684,0.6103,1.3202,0.4382,3.4001,2.0108,7.6606,1.3195,0.9684,0.6989,11.7874,3.6254,25.2901,1.5074,0.2521
0,day1,jhana,all,all,Oz,369,30,0.5677,0.9673,0.6179,1.2992,0.4308,3.4917,2.0014,7.7028,1.2986,0.9673,0.6739,11.3642,3.5468,21.1873,1.4312,0.2325
0,day1,mindfulness,all,all,Fp1,369,30,0.6634,0.9753,0.6765,1.4983,0.5417,2.9307,2.0613,7.2254,1.4978,0.9753,0.624,10.5721,2.5281,12.615,0.8808,0.3308
0,day1,mindfulness,all,all,Fpz,369,30,0.6478,0.9733,0.6622,1.4513,0.5192,3.0648,2.0965,7.3758,1.4506,0.9733,0.6365,9.7616,2.8283,13.4745,0.8495,0.2932
0,day1,mindfulness,all,all,Fp2,369,30,0.6569,0.976,0.6637,1.476,0.5348,3.012,2.0388,7.3132,1.4754,0.976,0.6739,10.0505,2.3557,12.2192,0.7696,0.2873
0,day1,mindfulness,all,all,AF3,369,30,0.6471,0.9675,0.6618,1.4541,0.5152,2.9591,2.046,7.2982,1.4535,0.9675,0.5991,7.9418,3.3953,15.5812,1.0095,0.3235
0,day1,mindfulness,all,all,AF4,369,30,0.6411,0.9663,0.6508,1.44,0.5086,2.9803,2.0375,7.3491,1.4394,0.9663,0.5616,7.3262,3.409,15.5122,0.9123,0.3134
0,day1,mindfulness,all,all,F7,369,30,0.6788,0.9772,0.6997,1.5319,0.5637,2.7998,2.0623,7.1746,1.5312,0.9772,0.5616,7.8509,2.1934,9.4992,0.8368,0.2829
0,day1,mindfulness,all,all,F3,369,30,0.6291,0.9619,0.6536,1.4075,0.4882,3.0049,2.0174,7.5348,1.407,0.9619,0.5991,8.2331,4.115,16.3486,1.1121,0.3111
0,day1,mindfulness,all,all,Fz,369,30,0.6058,0.9532,0.6351,1.3454,0.457,3.0892,2.0279,7.6531,1.3447,0.9532,0.5741,8.2491,6.0777,22.0168,1.3159,0.3885
0,day1,mindfulness,all,all,F4,369,30,0.6287,0.9612,0.6523,1.4091,0.4908,2.976,2.001,7.4822,1.4085,0.9612,0.5866,7.3203,4.0508,16.3085,1.0109,0.3585
0,day1,mindfulness,all,all,F8,369,30,0.676,0.9766,0.6863,1.5262,0.5672,2.8186,2.0386,7.2118,1.5255,0.9766,0.5866,7.2538,1.8134,7.8074,0.5933,0.2511
0,day1,mindfulness,all,all,FC5,369,30,0.6546,0.9713,0.6949,1.4741,0.5288,2.8913,2.0274,7.3713,1.4735,0.9713,0.4867,6.8638,2.7696,10.7222,1.0127,0.2742
0,day1,mindfulness,all,all,FC1,369,30,0.6097,0.9491,0.6459,1.3497,0.4577,3.0178,2.0082,7.65,1.349,0.9491,0.5616,7.8868,6.0315,21.7838,1.6141,0.3907
0,day1,mindfulness,all,all,FC2,369,30,0.6034,0.947,0.6406,1.3312,0.4515,3.04,2.0035,7.7319,1.3306,0.947,0.5616,8.1546,5.9481,21.5093,1.4879,0.4231
0,day1,mindfulness,all,all,FC6,369,30,0.686,0.9748,0.7009,1.5408,0.5782,2.7275,2.0599,7.1639,1.5402,0.9748,0.6989,5.1076,2.2151,8.5489,0.693,0.2604
0,day1,mindfulness,all,all,T7,369,30,0.7336,0.9784,0.7511,1.6319,0.6361,2.4962,2.1536,6.8313,1.6312,0.9784,0.5866,5.1853,2.1245,7.295,1.0268,0.2957
0,day1,mindfulness,all,all,C3,369,30,0.6335,0.953,0.6737,1.4009,0.4846,2.9039,2.0339,7.5486,1.4003,0.953,0.5741,7.2473,4.2345,16.2914,1.8479,0.3094
0,day1,mindfulness,all,all,Cz,369,30,0.6011,0.9354,0.6476,1.312,0.4416,2.9615,1.974,7.7989,1.3115,0.9354,0.5242,8.8508,5.9914,24.6469,2.504,0.4051
0,day1,mindfulness,all,all,C4,369,30,0.6316,0.9564,0.6744,1.4079,0.4898,2.9158,2.0221,7.5493,1.4073,0.9564,0.5991,6.6871,3.9338,15.5008,1.6309,0.3146
0,day1,mindfulness,all,all,T8,369,30,0.7872,0.9839,0.7851,1.7301,0.7377,2.2685,2.2187,6.5447,1.7294,0.9839,0.6615,4.1517,1.125,4.5633,0.6645,0.343
0,day1,mindfulness,all,all,CP5,369,30,0.6625,0.9642,0.6974,1.474,0.525,2.8047,2.1139,7.3087,1.4735,0.9642,0.5991,6.6045,2.9578,12.309,1.6933,0.2776
0,day1,mindfulness,all,all,CP1,369,30,0.5883,0.9347,0.6475,1.2827,0.4278,3.0403,1.9664,7.954,1.2821,0.9347,0.5616,10.7732,5.1507,23.853,3.2273,0.3237
0,day1,mindfulness,all,all,CP2,369,30,0.5903,0.9293,0.636,1.2795,0.4299,2.972,2.0124,7.9165,1.2789,0.9293,0.5117,8.2869,4.9133,26.3371,3.3333,0.3052
0,day1,mindfulness,all,all,CP6,369,30,0.644,0.9636,0.6772,1.4494,0.5133,2.8679,2.0558,7.3935,1.4487,0.9636,0.5741,6.7441,2.6402,13.2142,1.5145,0.249
0,day1,mindfulness,all,all,P7,369,30,0.6146,0.9542,0.6249,1.3831,0.4734,2.9427,2.096,7.4328,1.3824,0.9542,0.5242,6.9531,3.7296,28.3577,2.0743,0.3086
0,day1,mindfulness,all,all,P3,369,30,0.5958,0.9317,0.635,1.2982,0.4383,2.9376,2.0535,7.817,1.2976,0.9317,0.5491,7.7736,4.5223,26.682,3.294,0.2959
0,day1,mindfulness,all,all,Pz,369,30,0.5566,0.9119,0.5955,1.1932,0.3955,3.0315,1.9924,8.1811,1.1926,0.9119,0.5616,11.4001,5.6757,41.9449,4.531,0.3093
0,day1,mindfulness,all,all,P4,369,30,0.5647,0.9227,0.5966,1.2323,0.4109,3.0269,1.994,8.0023,1.2317,0.9227,0.4493,9.1162,5.0064,38.637,3.6697,0.3001
0,day1,mindfulness,all,all,P8,369,30,0.5628,0.9312,0.5774,1.2349,0.4204,3.031,2.0846,7.8008,1.2343,0.9312,0.4867,10.6234,4.3944,46.8421,3.0395,0.3447
0,day1,mindfulness,all,all,POz,369,30,0.5338,0.9028,0.55,1.1457,0.3802,3.0467,1.9451,8.1432,1.1452,0.9028,0.4618,10.2885,6.0573,58.619,4.2013,0.3208
0,day1,mindfulness,all,all,O1,369,30,0.5692,0.936,0.5862,1.2638,0.4202,3.0928,2.0289,7.783,1.2632,0.936,0.4743,7.8601,4.4456,36.8006,2.4362,0.2931
0,day1,mindfulness,all,all,Oz,369,30,0.5844,0.9464,0.607,1.311,0.4398,3.0995,2.0046,7.7017,1.3103,0.9464,0.4867,7.634,4.1506,27.8423,2.0109,0.2742
0,day1,mindfulness,all,all,O2,369,30,0.5434,0.9202,0.5634,1.1865,0.3963,3.0727,2.0302,7.9553,1.186,0.9202,0.4743,9.5474,5.4802,49.0291,3.3357,0.3244
0,day2,jhana,all,all,Fp1,434,32,0.749,0.9856,0.7563,1.6907,0.674,2.3731,2.1127,6.5977,1.6901,0.9856,0.8112,8.3791,2.2906,9.2664,0.8411,0.5624
0,day2,jhana,all,all,Fpz,434,32,0.7595,0.9842,0.7488,1.6904,0.6791,2.3415,2.1472,6.6138,1.6898,0.9842,0.7738,6.8683,2.2927,9.9902,0.8013,0.4765
0,day2,jhana,all,all,Fp2,434,32,0.763,0.9841,0.7511,1.6956,0.6848,2.3254,2.175,6.6257,1.6949,0.9841,0.6739,6.5023,2.2554,9.8931,0.7845,0.4158
0,day2,jhana,all,all,AF3,434,32,0.7484,0.9812,0.7317,1.6586,0.6552,2.391,2.1095,6.713,1.658,0.9812,0.7363,6.197,2.9375,12.1999,0.9006,0.4138
0,day2,jhana,all,all,AF4,434,32,0.7409,0.9799,0.7252,1.6419,0.6457,2.4184,2.1548,6.7299,1.6413,0.9799,0.7363,6.1724,2.9649,12.2058,0.8503,0.422
0,day2,jhana,all,all,F7,434,32,0.768,0.9863,0.7733,1.7205,0.7105,2.2617,2.1276,6.5558,1.7198,0.9863,0.7488,6.126,1.8454,6.8755,0.6911,0.3667
0,day2,jhana,all,all,F3,434,32,0.7378,0.9798,0.723,1.6367,0.6379,2.4429,2.1144,6.7711,1.636,0.9798,0.7613,5.9978,3.3591,12.681,0.9485,0.3875
0,day2,jhana,all,all,Fz,434,32,0.7228,0.9783,0.7116,1.6097,0.6186,2.5069,2.1223,6.8702,1.6091,0.9783,0.6864,6.6938,4.0042,14.3515,0.9827,0.4326
0,day2,jhana,all,all,F4,434,32,0.7432,0.9813,0.7279,1.6481,0.6524,2.4107,2.1657,6.739,1.6474,0.9813,0.6989,5.3829,2.7777,10.192,0.7221,0.3721
0,day2,jhana,all,all,F8,434,32,0.7999,0.986,0.7829,1.7542,0.7463,2.1572,2.2375,6.4311,1.7535,0.986,0.7239,4.603,1.5745,5.7594,0.5601,0.3306
0,day2,jhana,all,all,FC5,434,32,0.7878,0.9848,0.7756,1.7313,0.7182,2.22,2.1683,6.5,1.7307,0.9848,0.7738,4.889,2.2599,7.7797,0.824,0.3503
0,day2,jhana,all,all,T7,434,32,0.8175,0.988,0.8144,1.7914,0.7733,2.0926,2.2543,6.3109,1.7907,0.988,0.7738,4.5628,1.8236,4.8024,0.7636,0.3322
0,day2,jhana,all,all,C3,434,32,0.7481,0.9799,0.7512,1.6601,0.6547,2.3802,2.114,6.7144,1.6595,0.9799,0.6739,5.7647,2.7882,10.1226,1.1986,0.3522
0,day2,jhana,all,all,Cz,434,32,0.697,0.9717,0.7084,1.5572,0.5778,2.6007,2.0753,7.0112,1.5566,0.9717,0.7363,7.375,4.1286,15.8623,1.5683,0.4187
0,day2,jhana,all,all,C4,434,32,0.7741,0.9828,0.7686,1.7081,0.6996,2.2686,2.1953,6.5769,1.7074,0.9828,0.8487,5.3177,2.4301,8.4971,0.9366,0.3802
0,day2,jhana,all,all,T8,434,32,0.9039,0.9869,0.8717,1.9219,0.9162,1.7658,2.3027,5.9066,1.9213,0.9869,0.8611,3.8398,1.188,3.6545,0.8054,0.5558
0,day2,jhana,all,all,CP5,434,32,0.7678,0.9816,0.767,1.6955,0.6862,2.2914,2.1596,6.5846,1.6947,0.9816,0.7738,5.4691,2.4201,9.0699,1.2603,0.3556
0,day2,jhana,all,all,CP1,434,32,0.7041,0.9712,0.7145,1.5651,0.5886,2.5648,2.1135,6.9299,1.5646,0.9712,0.6864,7.0774,3.4702,16.1382,1.9977,0.3746
0,day2,jhana,all,all,CP2,434,32,0.7066,0.9721,0.712,1.5623,0.5886,2.5773,2.1316,6.9537,1.5617,0.9721,0.7239,7.1379,3.4127,15.8742,1.7654,0.3736
0,day2,jhana,all,all,CP6,434,32,0.7834,0.9844,0.7751,1.7289,0.7169,2.2333,2.2102,6.4801,1.7283,0.9844,0.7987,5.2381,1.9765,8.1837,1.0362,0.3552
0,day2,jhana,all,all,P7,434,32,0.717,0.9753,0.7001,1.5978,0.611,2.5228,2.1875,6.7776,1.5971,0.9753,0.5866,6.0631,3.1315,20.2986,1.6203,0.3993
0,day2,jhana,all,all,P3,434,32,0.6952,0.9702,0.7013,1.556,0.5815,2.5893,2.1118,6.9363,1.5553,0.9702,0.5991,6.8761,3.2403,18.0273,2.0049,0.3648
0,day2,jhana,all,all,Pz,434,32,0.6524,0.9602,0.6542,1.4564,0.5223,2.782,2.0898,7.1897,1.4557,0.9602,0.6365,8.2985,4.0261,28.3631,2.5861,0.3739
0,day2,jhana,all,all,P4,434,32,0.6835,0.969,0.6796,1.5335,0.5707,2.6439,2.0984,6.9752,1.5329,0.969,0.6615,7.1991,3.292,22.4737,2.0454,0.3705
0,day2,jhana,all,all,P8,434,32,0.6784,0.9691,0.6487,1.5287,0.5783,2.6232,2.1959,6.7685,1.5281,0.9691,0.5117,6.0193,2.7661,31.7152,2.0522,0.4227
0,day2,jhana,all,all,POz,434,32,0.6421,0.9601,0.6312,1.4447,0.5174,2.8182,2.0984,7.1573,1.4441,0.9601,0.5991,8.0957,3.8755,32.4137,2.3758,0.3703
0,day2,jhana,all,all,O1,434,32,0.6566,0.9653,0.6366,1.4805,0.5431,2.7626,2.159,6.9779,1.4799,0.9653,0.5117,7.439,3.9525,36.0195,2.1075,0.3876
0,day2,jhana,all,all,Oz,434,32,0.6747,0.9697,0.6548,1.5148,0.5628,2.7049,2.1565,6.9661,1.5142,0.9697,0.5741,7.0393,3.4242,26.5996,1.7707,0.355
0,day2,jhana,all,all,O2,434,32,0.6478,0.9635,0.6261,1.4631,0.5337,2.7749,2.1229,7.0052,1.4625,0.9635,0.4992,7.4077,3.7637,36.6329,2.2873,0.3992
0,day2,mindfulness,all,all,Fp1,416,29,0.5448,0.9626,0.6179,1.2087,0.3914,3.823,2.123,8.1825,1.2082,0.9626,0.649,14.8889,3.7516,12.673,0.8524,0.2322
0,day2,mindfulness,all,all,Fpz,416,29,0.547,0.9589,0.6097,1.2111,0.3882,3.8142,2.014,8.2206,1.2105,0.9589,0.6615,13.9894,3.7326,14.2313,0.8609,0.1955
0,day2,mindfulness,all,all,Fp2,416,29,0.5547,0.9613,0.6163,1.2432,0.4033,3.7302,2.011,8.0983,1.2425,0.9613,0.6989,13.4303,3.384,13.2138,0.8095,0.2043
0,day2,mindfulness,all,all,AF3,416,29,0.5513,0.955,0.6148,1.2126,0.3873,3.6824,2.0256,8.2567,1.212,0.955,0.6739,12.607,4.101,14.6338,0.9443,0.2104
0,day2,mindfulness,all,all,AF4,416,29,0.5357,0.948,0.6215,1.1571,0.375,3.6881,2.174,8.4,1.1565,0.948,0.6739,14.3579,5.0375,15.2671,1.1244,0.2739
0,day2,mindfulness,all,all,F7,416,29,0.5818,0.9706,0.6528,1.3108,0.4362,3.4889,2.0547,7.8575,1.3102,0.9706,0.7738,10.3038,2.8617,8.9832,0.7701,0.194
0,day2,mindfulness,all,all,F3,416,29,0.5535,0.9474,0.6214,1.2176,0.3879,3.5107,1.9783,8.2711,1.217,0.9474,0.6615,10.2613,4.6543,16.1808,1.1342,0.2274
0,day2,mindfulness,all,all,FC5,416,29,0.5843,0.961,0.6537,1.3121,0.4303,3.3416,1.9617,7.9607,1.3115,0.961,0.7239,8.1894,3.5115,11.2209,1.0314,0.2002
0,day2,mindfulness,all,all,Cz,416,29,0.5443,0.9106,0.6291,1.1491,0.3716,3.1642,1.939,8.4966,1.1485,0.9106,0.5991,11.4494,6.033,24.2704,2.8934,0.2865
0,day2,mindfulness,all,all,C4,416,29,0.5635,0.9377,0.6442,1.226,0.3961,3.2904,1.9846,8.244,1.2255,0.9377,0.6739,9.2131,4.0581,14.5047,1.7461,0.2003
0,day2,mindfulness,all,all,T8,416,29,0.6234,0.9806,0.6936,1.4242,0.5046,3.1654,2.1005,7.4234,1.4236,0.9806,0.7613,6.2536,1.7833,4.0938,0.5403,0.1412
0,day2,mindfulness,all,all,CP5,416,29,0.5953,0.9549,0.663,1.3223,0.4358,3.1934,2.0309,7.837,1.3217,0.9549,0.6864,8.1921,3.6547,12.0094,1.5562,0.2008
0,day2,mindfulness,all,all,CP1,416,29,0.5449,0.912,0.6257,1.1588,0.3744,3.1622,1.9169,8.4439,1.1583,0.912,0.5741,10.9182,5.3331,23.6252,3.173,0.2327
0,day2,mindfulness,all,all,CP2,416,29,0.5332,0.9053,0.6066,1.1208,0.3633,3.1722,1.9055,8.5715,1.1203,0.9053,0.5242,10.6608,5.1878,27.3115,3.0438,0.2145
