sub,day,condition,button,jhana,ch_name,n_epochs_x,n_channels_x,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
1,day2,jhana,all,all,,,,4.478,382344,12.018,72.305,30.197,8.196,0.441,0.109,4.044,16.91,0.427,3.771,3.938,0.347,1.047,369.0,31.0,0.4939925925925926,0.9554333333333334,0.6116259259259259,1.0683407407407406,0.3683074074074074,4.278503703703704,1.9958,8.68367037037037,1.0677851851851852,0.9554333333333334,0.37210740740740744,19.171907407407407,7.7560370370370375,16.40394074074074,1.3532703703703703,0.22585925925925926,2.0,2.0,8.0,6.0,6.0,,,4.5,8.0,8.0,,,3.0,,7.0,,,,,,,,7.19053,,59.0,,6.0,5.25
1,day2,mindfulness,all,all,,,,6.004,381936,8.324,74.873,19.397,8.763,3.043,1.308,2.326,18.554,1.019,3.488,4.369,0.667,1.159,389.0,27.0,0.4592827586206897,0.9145758620689656,0.582851724137931,0.9501172413793103,0.3130931034482759,4.196010344827586,1.9559827586206897,9.435727586206896,0.9496241379310345,0.9145758620689656,0.3610758620689655,18.259831034482758,11.960296551724138,25.69991724137931,1.7907275862068965,0.1834551724137931,2.0,1.0,,,,,,,,,,,,,,7.0,7.0,6.0,8.0,0.0,0.0,5.0,7.11586,,59.0,,7.0,7.0
1,day3,jhana,all,all,,,,16.129,386168,15.113,70.174,26.792,10.391,0.426,0.175,2.437,18.089,0.373,3.515,4.03,0.171,1.009,471.0,29.0,0.48531599999999997,0.919464,0.597788,1.013896,0.333472,3.958164,1.9369319999999999,9.113724,1.013388,0.919464,0.408372,14.7723,9.23056,21.791748,1.6818720000000003,0.167884,1.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,7.0,6.0,3.0,5.0,,,,,,,,6.76958,,59.0,,3.0,2.5
1,day3,mindfulness,all,all,,,,15.621,386480,1.321,68.324,21.277,10.147,4.417,1.303,3.39,17.101,0.521,3.79,4.254,0.129,1.258,371.0,25.0,0.4587137931034483,0.9132172413793104,0.5808862068965518,0.9481724137931035,0.30968620689655174,4.196889655172414,1.897906896551724,9.44468620689655,0.9476862068965517,0.9132172413793104,0.49921724137931034,17.34483103448276,11.601931034482758,25.38466206896552,1.7664310344827587,0.16530344827586207,1.0,2.0,,,,,,,,,,,,,,7.0,4.0,5.0,3.0,0.0,0.0,8.0,7.744,,59.0,,7.0,5.5
1,day4,jhana,all,all,,,,9.588,394768,22.564,69.572,27.731,10.45,0.607,0.258,2.354,15.894,0.752,3.983,3.267,0.18,1.09,462.0,29.0,0.5049034482758621,0.9482172413793104,0.6054862068965517,1.0879724137931033,0.36834137931034483,4.064613793103448,1.967244827586207,8.718627586206896,1.0874310344827587,0.9482172413793104,0.5000827586206896,15.713062068965518,7.460593103448276,16.359206896551722,1.2547793103448277,0.17021724137931035,2.0,2.0,,5.0,6.0,5.0,6.0,3.0,7.5,8.0,8.0,8.0,6.0,,3.5,,,,,,,,7.71663,,59.0,,5.0,4.0
1,day4,mindfulness,all,all,,,,14.731,392776,25.815,73.056,26.806,12.155,3.428,0.701,4.891,15.896,0.589,4.061,3.773,0.091,1.307,473.0,29.0,0.49335357142857145,0.9210035714285715,0.5936857142857143,1.031475,0.3443107142857143,3.8944714285714284,1.935125,9.036528571428573,1.0309535714285714,0.9210035714285715,0.44484285714285715,12.752435714285713,9.551939285714285,22.45785,1.6023535714285713,0.1701,2.0,1.0,,,,,,,,,,,,,,7.0,5.0,6.0,6.0,0.0,0.0,6.0,8.38125,,59.0,,7.0,6.0
2,day1,jhana,all,all,,,,3.611,384640,8.858,65.811,29.712,13.857,2.539,0.294,8.641,7.236,1.039,8.503,1.129,0.137,1.395,415.0,28.0,0.7576086956521739,0.986908695652174,0.7620869565217391,1.691108695652174,0.6958956521739131,2.391686956521739,2.2413304347826086,6.68551304347826,1.6904913043478262,0.986908695652174,0.7667260869565217,3.9541652173913047,2.8797478260869567,4.360778260869565,0.6219695652173913,0.28993478260869565,1.0,2.0,6.0,7.0,8.0,8.0,9.0,5.0,8.0,8.0,8.0,9.0,6.0,4.0,7.0,,,,,,,,7.1741,69.0,69.0,6.86663625,7.0,6.0
2,day1,mindfulness,all,all,,,,8.251,368936,9.919,66.177,33.301,17.739,3.214,0.297,10.827,7.881,0.828,7.732,1.129,0.118,0.884,456.0,23.0,0.6681571428571429,0.9794892857142857,0.6886464285714285,1.5103857142857142,0.5654714285714285,2.873089285714286,2.1768857142857145,7.2818499999999995,1.5097357142857142,0.9794892857142857,0.6922142857142858,4.4356857142857145,5.047332142857143,5.701910714285715,0.6051928571428571,0.19478214285714285,1.0,1.0,,,,,,,,,,,,,,9.0,7.0,3.0,4.0,0.0,0.0,7.0,6.44828,,69.0,,9.0,8.0
2,day2,jhana,all,all,,,,13.079,383472,28.54,70.51,31.692,16.929,4.938,0.467,10.578,7.574,0.702,8.106,1.142,0.088,1.247,353.0,28.0,0.80829375,0.989221875,0.8067125,1.781190625,0.78378125,2.147775,2.427515625,6.366421875,1.78054375,0.989221875,0.7383062499999999,2.716953125,1.608009375,2.5176125,0.434546875,0.27264375,2.0,1.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,9.0,7.0,4.0,6.0,,,,,,,,7.2671,,69.0,,8.0,7.5
2,day2,mindfulness,all,all,,,,9.303,381648,11.594,66.903,22.708,13.737,2.488,0.969,2.569,7.39,0.791,8.209,0.777,0.126,0.865,372.0,32.0,0.7257375,0.982709375,0.73173125,1.6122125,0.6540375,2.564028125,2.352465625,6.876840625,1.6116,0.982709375,0.6805687500000001,2.804275,3.319525,4.621328125,0.561890625,0.248565625,2.0,2.0,,,,,,,,,,,,,,8.0,5.0,7.0,7.0,0.0,0.0,7.0,7.38778,,69.0,,8.0,6.5
