sub,day,condition,button,jhana,ch_name,n_epochs_x,n_channels_x,Mean_SCL,Num_SCRs,Mean_SCR_Amplitude,Mean_HR,SDNN,RMSSD,LF,HF,LF_HF_Ratio,Mean_RR,Mean_Amplitude,Mean_Cycle_Duration,RR_Variability,Amplitude_Variability,Cycle_Duration_Variability,n_epochs_y,n_channels_y,lempel_ziv_norm,permutation_entropy,spectral_entropy,sample_entropy,hjorth_mobility,hjorth_complexity,nk_fsi,nk_lle,nk_sampen,nk_pen,nk_lzc,delta,theta,alpha,beta,gamma,global_standard,order2,jhana_strength_nimitta,jhana_stabilit_j1,jhana_stabilit_j2,jhana_stabilit_j3,jhana_stabilit_j4,jhana_stabilit_jbeeps,jhana_fading_j1,jhana_fading_j2,jhana_fading_j3,jhana_fading_j4,jhana_fading_beeps,jhana_choice_beeps,jhana_beep_distraction,mindfulness_stability_before_beeps,mindfulness_stability_during_beeps,mindfulness_fading_before_beeps,mindfulness_fading_during_beeps,mindfulness_jhana_before_beeps,mindfulness_jhana_during_beeps,mindfulness_beep_distraction,dat,MODTAS_sum,MODTAS_sum_repeated,dat_average,meditation_depth_before,meditation_depth_mean
5,day1,jhana,all,all,,,,0.981,389352,3.891,74.871,35.18,13.836,2.181,0.873,2.497,9.305,0.876,6.777,2.614,0.123,1.451,218.0,13.0,0.8123318181818182,0.9895909090909091,0.8399090909090909,1.7980454545454547,0.8033090909090909,2.062181818181818,2.2620999999999998,6.079495454545454,1.7973863636363634,0.9895909090909091,0.7499545454545454,5.591404545454545,1.2472272727272726,2.350240909090909,0.799459090909091,0.37360454545454547,2.0,1.0,,5.0,6.0,6.0,8.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,5.0,,,,,,,,8.70553,111.0,111.0,8.65554875,5.0,5.0
5,day1,mindfulness,all,all,,,,0.838,384432,2.088,69.914,36.608,22.268,15.526,2.525,6.149,8.473,0.734,7.177,1.011,0.112,0.814,279.0,22.0,0.7186086956521739,0.9831347826086957,0.7472130434782609,1.6244130434782609,0.6321347826086956,2.5577347826086956,2.1075,6.693408695652174,1.623795652173913,0.9831347826086957,0.6820739130434782,6.762313043478261,1.2500869565217392,3.342365217391304,0.6736478260869565,0.23654347826086958,2.0,2.0,,,,,,,,,,,,,,5.0,5.0,2.0,2.0,0.0,0.0,3.0,7.75343,,111.0,,5.0,5.0
5,day2,jhana,all,all,,,,3.439,390624,4.065,70.859,40.704,19.524,7.353,1.441,5.104,8.94,1.975,7.04,2.619,0.304,1.412,358.0,23.0,0.8659966666666666,0.9905433333333333,0.8726066666666666,1.8611966666666668,0.9043500000000001,1.9514266666666666,2.4341999999999997,5.852729999999999,1.8605433333333332,0.9905433333333333,0.48882,4.708646666666667,0.8517733333333334,1.9140366666666668,0.68501,0.4122766666666667,1.0,2.0,,8.0,6.0,6.0,7.0,,5.0,5.0,5.0,6.0,6.0,4.0,5.0,,,,,,,,8.01473,,111.0,,8.0,8.0
5,day2,mindfulness,all,all,,,,6.113,384752,8.326,74.032,35.113,17.944,6.667,2.71,2.46,9.467,2.143,6.475,1.447,0.272,0.929,424.0,30.0,0.8106379310344828,0.9870620689655173,0.8243103448275862,1.7848620689655172,0.7787344827586208,2.1075620689655175,2.2372137931034484,6.196303448275862,1.7842103448275863,0.9870620689655173,0.8301551724137931,3.4177275862068965,0.796051724137931,2.2732275862068962,0.513696551724138,0.22228965517241378,1.0,1.0,,,,,,,,,,,,,,6.0,4.0,3.0,3.0,0.0,0.0,4.0,8.50694,,111.0,,6.0,5.0
5,day3,jhana,all,all,,,,2.993,389416,5.357,81.267,31.756,11.79,0.739,0.669,1.105,10.074,1.387,6.231,2.691,0.251,1.222,364.0,29.0,0.7924555555555556,0.990137037037037,0.8403444444444444,1.7872222222222223,0.8144666666666667,2.0876407407407407,2.190937037037037,6.002462962962962,1.7865777777777778,0.990137037037037,0.8287888888888889,7.021911111111111,1.2252555555555555,2.443762962962963,0.7430925925925926,0.45077407407407405,2.0,1.0,,6.0,7.0,8.0,9.0,9.0,5.0,5.0,7.0,7.0,7.0,4.0,6.0,,,,,,,,9.04134,,111.0,,6.0,7.5
5,day3,mindfulness,all,all,,,,2.469,385424,5.58,72.879,37.072,19.48,3.229,2.055,1.571,9.558,1.416,6.372,1.291,0.22,0.736,313.0,27.0,0.673525925925926,0.9852814814814814,0.7429888888888889,1.5472074074074074,0.6084444444444445,2.792229629629629,2.1062925925925926,6.701740740740741,1.5465851851851853,0.9852814814814814,0.6693148148148148,7.833925925925926,1.3183111111111112,3.7155592592592592,0.674137037037037,0.24812592592592592,2.0,2.0,,,,,,,,,,,,,,3.0,3.0,2.0,1.0,0.0,0.0,3.0,8.86944,,111.0,,3.0,3.0
5,day4,jhana,all,all,,,,5.163,388080,6.603,62.663,45.106,25.997,4.541,1.788,2.54,8.995,0.841,6.942,1.916,0.143,1.41,365.0,27.0,0.8866137931034482,0.9904172413793104,0.8900482758620689,1.8944862068965518,0.9564758620689655,1.776151724137931,2.484444827586207,5.833606896551724,1.893806896551724,0.9904172413793104,0.8663172413793103,4.0451310344827585,1.163213793103448,2.3650206896551724,0.731848275862069,0.5216310344827586,1.0,2.0,,7.0,7.0,9.0,9.0,,6.0,6.0,7.0,7.0,6.0,4.0,,,,,,,,,9.15459,,111.0,,7.0,7.0
5,day4,mindfulness,all,all,,,,7.852,381432,1.509,71.875,34.382,18.658,1.737,2.26,0.768,9.613,1.025,6.31,1.014,0.183,0.656,420.0,29.0,0.7497307692307692,0.9846269230769231,0.7935192307692307,1.6779115384615386,0.6973769230769231,2.3890653846153844,2.196238461538462,6.466496153846153,1.6772653846153847,0.9846269230769231,0.6369807692307692,3.0475423076923076,0.8117961538461539,2.3993615384615383,0.45286923076923075,0.17774230769230767,1.0,1.0,,,,,,,,,,,,,,5.0,4.0,2.0,2.0,0.0,0.0,4.0,9.19839,,111.0,,5.0,4.5
6,day1,jhana,all,all,,,,7.581,383152,18.708,77.779,44.555,19.168,0.677,0.163,4.141,8.602,1.416,7.823,3.257,0.33,2.386,426.0,26.0,0.7915766666666666,0.97656,0.8051833333333334,1.7316133333333332,0.7305566666666666,2.1707233333333336,2.1834166666666666,6.295213333333334,1.7309833333333333,0.97656,0.8694733333333333,20.74334,4.580896666666666,14.555366666666666,3.0811966666666666,2.47081,2.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,2.5,3.0,5.0,,,,,,,,8.3006,52.0,52.0,8.347085,5.0,4.5
6,day1,mindfulness,all,all,,,,3.947,390512,40.514,72.734,78.78,22.603,2.458,0.812,3.029,11.07,1.076,5.697,2.803,0.145,1.141,439.0,30.0,0.6448133333333333,0.9743033333333333,0.6780466666666667,1.45036,0.53337,2.948806666666667,2.052906666666667,7.28075,1.44975,0.9743033333333333,0.48341666666666666,17.282286666666668,4.263366666666666,17.852846666666668,1.5953033333333333,0.5369266666666667,2.0,2.0,,,,,,,,,,,,,,8.0,7.0,6.0,4.0,0.0,0.0,3.0,8.60949,,52.0,,8.0,7.5
6,day2,jhana,all,all,,,,12.026,379064,9.073,70.56,41.769,19.202,8.575,0.616,13.914,6.37,1.634,9.823,1.568,0.376,1.754,239.0,30.0,0.9158448275862069,0.971248275862069,0.8810793103448277,1.9068172413793103,0.9261586206896552,1.6371172413793103,2.3611241379310344,5.840975862068965,1.906193103448276,0.971248275862069,0.6545793103448276,9.897655172413792,3.9369344827586206,11.640537931034483,6.608775862068966,7.117855172413793,1.0,2.0,8.0,6.0,7.0,7.0,,,8.0,8.0,8.0,,,3.0,3.0,,,,,,,,8.42147,,52.0,,6.0,6.0
6,day2,mindfulness,all,all,,,,13.894,366440,52.334,68.546,27.267,17.25,3.026,1.792,1.689,10.425,1.887,5.953,2.125,2.856,1.041,413.0,29.0,0.6856766666666666,0.96307,0.69839,1.5004433333333334,0.56037,2.67546,2.1637133333333334,7.05427,1.4998399999999998,0.96307,0.6806033333333333,9.844706666666667,5.979846666666666,19.087983333333334,1.88325,0.66112,1.0,1.0,,,,,,,,,,,,,,8.0,5.0,8.0,5.0,0.0,0.0,3.0,8.61821,,52.0,,8.0,6.5
6,day3,jhana,all,all,,,,9.856,400712,29.994,70.274,41.143,21.223,4.8,0.602,7.967,6.322,1.308,10.124,1.85,0.296,2.374,435.0,30.0,0.7303678571428571,0.9749678571428572,0.7874642857142857,1.6409749999999999,0.6612964285714286,2.393575,2.080825,6.40125,1.6403321428571427,0.9749678571428572,0.6877535714285715,24.162074999999998,3.8201964285714287,12.638685714285714,2.861067857142857,2.277135714285714,2.0,1.0,5.0,7.0,7.0,6.0,7.0,7.0,8.0,8.0,6.0,8.0,,4.0,1.5,,,,,,,,7.53217,,52.0,,7.0,7.0
6,day3,mindfulness,all,all,,,,8.431,386368,12.908,67.45,32.562,21.685,16.14,5.233,3.084,8.752,0.989,6.978,1.211,0.192,0.91,332.0,28.0,0.5471433333333333,0.9675499999999999,0.6276433333333333,1.2547033333333333,0.4194333333333333,3.6437866666666663,1.91,7.937703333333333,1.25411,0.9675499999999999,0.53584,21.159666666666666,3.917616666666667,16.448923333333333,1.28476,0.36522333333333334,2.0,2.0,,,,,,,,,,,,,,8.0,6.0,7.0,4.0,0.0,0.0,5.0,8.5357,,52.0,,8.0,7.0
6,day4,jhana,all,all,,,,6.583,384344,6.951,73.423,44.574,29.464,4.924,1.921,2.563,8.87,0.527,7.377,2.758,0.193,2.101,412.0,30.0,0.7014714285714285,0.9740035714285715,0.7662107142857143,1.581175,0.6156357142857143,2.6052392857142856,2.043271428571429,6.599589285714286,1.5805428571428572,0.9740035714285715,0.7046964285714286,19.670617857142854,4.293132142857143,12.546296428571427,2.729735714285714,1.8249142857142857,1.0,2.0,8.0,9.0,9.0,9.0,7.5,7.0,8.5,8.5,8.5,8.0,8.0,3.5,2.5,,,,,,,,8.17663,,52.0,,9.0,8.0
6,day4,mindfulness,all,all,,,,10.857,388904,1.635,70.352,26.564,15.334,5.657,2.572,2.199,10.51,1.119,5.843,1.732,0.135,0.855,342.0,28.0,0.43334,0.9694633333333333,0.5606933333333333,0.9971733333333334,0.31488333333333335,4.996786666666667,1.7768766666666667,8.442953333333334,0.9966266666666667,0.9694633333333333,0.44014000000000003,41.806396666666664,5.994726666666667,17.12836,1.27616,0.3383733333333333,1.0,1.0,,,,,,,,,,,,,,9.0,8.5,8.0,7.0,0.0,0.0,3.0,8.58241,,52.0,,9.0,8.75
7,day1,jhana,all,all,,,,3.685,382600,6.057,94.434,47.686,10.741,0.332,0.049,6.727,7.514,1.071,8.228,1.317,0.225,1.439,426.0,30.0,0.790225,0.9893041666666668,0.8162041666666666,1.7953291666666666,0.7683166666666666,2.1320375,2.1618291666666667,6.0953124999999995,1.7947125,0.9893041666666668,0.7228208333333334,8.9685,1.9223625,2.072341666666667,0.8514,0.443025,2.0,1.0,8.0,4.0,4.0,4.0,5.5,3.5,4.0,4.0,5.0,6.0,3.5,4.0,8.0,,,,,,,,7.9877,58.0,58.0,8.47616,4.0,3.75
7,day1,mindfulness,all,all,,,,5.878,390416,3.619,74.634,31.303,18.369,2.002,1.791,1.118,16.465,0.951,3.766,2.693,0.133,0.786,447.0,24.0,0.7401208333333332,0.9834125,0.7775916666666666,1.6950458333333334,0.678125,2.3329958333333334,2.11695,6.337258333333334,1.6943916666666665,0.9834125,0.6682166666666666,9.710941666666667,1.9889291666666666,2.5760083333333332,0.900975,0.36533333333333334,2.0,2.0,,,,,,,,,,,,,,7.0,4.0,0.0,0.0,0.0,0.0,7.0,8.02454,,58.0,,7.0,5.5
7,day2,jhana,all,all,,,,13.278,390240,7.533,74.243,51.34,20.722,2.41,0.153,15.754,6.074,0.859,10.144,1.013,0.101,1.628,428.0,24.0,0.6365217391304349,0.9920217391304348,0.7118826086956522,1.5334695652173915,0.5847304347826087,2.916004347826087,2.0474391304347823,6.4557086956521745,1.5328086956521738,0.9920217391304348,0.40263043478260874,15.269152173913042,2.263904347826087,2.2175521739130435,0.6645478260869565,0.3184391304347826,1.0,2.0,10.0,8.0,7.0,8.0,8.0,5.5,6.0,7.0,6.0,7.0,4.5,4.0,5.0,,,,,,,,8.42613,,58.0,,8.0,6.75
7,day2,mindfulness,all,all,,,,4.448,364016,1.816,76.248,28.551,16.73,1.848,2.049,0.902,15.307,1.489,4.003,2.132,0.19,0.622,328.0,23.0,0.31704375,0.980434375,0.45616875,0.69804375,0.21763749999999998,7.4682031250000005,1.818378125,7.7963000000000005,0.69755625,0.980434375,0.21918125,67.267203125,4.481825,3.6312625,0.86296875,0.26275,1.0,1.0,,,,,,,,,,,,,,8.0,6.0,4.0,2.0,0.0,0.0,5.5,8.44916,,58.0,,8.0,7.0
7,day3,jhana,all,all,,,,3.615,398496,15.265,82.814,37.952,15.866,3.169,0.777,4.08,8.426,1.365,7.522,2.139,0.178,1.73,49.0,32.0,0.8280535714285715,0.9910607142857143,0.85135,1.8387785714285714,0.8595785714285714,1.9771214285714287,2.2606142857142855,5.976532142857144,1.8381142857142856,0.9910607142857143,0.7822464285714286,7.754892857142857,1.9122571428571429,2.211314285714286,0.8045035714285714,0.4638071428571428,2.0,1.0,10.0,7.0,6.5,7.0,8.0,7.0,4.0,4.0,5.0,7.0,,4.0,3.0,,,,,,,,8.91713,,58.0,,7.0,7.0
7,day3,mindfulness,all,all,,,,1.969,384216,2.446,74.43,33.3,20.295,2.637,6.116,0.431,11.708,1.651,5.252,1.943,0.146,0.791,492.0,28.0,0.7151370370370371,0.9794481481481482,0.7677851851851852,1.6215148148148149,0.6309481481481481,2.5114814814814816,2.1186444444444446,6.653333333333332,1.6208703703703704,0.9794481481481482,0.6817962962962963,7.408814814814815,2.2022037037037037,5.275818518518519,0.9660333333333333,0.322062962962963,2.0,2.0,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,0.0,0.0,2.0,8.29421,,58.0,,2.0,2.5
7,day4,jhana,all,all,,,,9.111,384440,35.312,77.391,36.778,16.468,9.337,1.684,5.546,7.267,1.385,8.791,2.009,0.137,2.042,475.0,27.0,0.880434375,0.9917125,0.862421875,1.913246875,0.90454375,1.842984375,2.31446875,5.9752625,1.91259375,0.9917125,0.768703125,3.05681875,1.3755875,2.917128125,0.623765625,0.316159375,1.0,2.0,10.0,7.0,8.0,8.0,7.5,6.5,4.0,6.5,6.5,7.0,,4.0,3.5,,,,,,,,8.71603,,58.0,,7.0,6.75
7,day4,mindfulness,all,all,,,,8.914,388984,2.968,83.268,22.863,11.892,2.061,1.466,1.406,14.534,1.383,4.29,2.695,0.168,0.89,483.0,32.0,0.626840625,0.977190625,0.704025,1.440678125,0.518978125,3.047375,2.062321875,7.256384375,1.4400718750000001,0.977190625,0.684853125,6.3077625,1.98525625,4.9759,0.752053125,0.14854375,1.0,1.0,,,,,,,,,,,,,,3.5,2.5,1.0,0.0,0.0,0.0,6.7,8.99438,,58.0,,3.5,3.0
8,day1,jhana,all,all,,,,1.233,385984,19.071,96.153,22.814,10.392,5.3,0.733,7.234,10.68,0.931,6.184,4.124,0.311,1.651,457.0,32.0,0.748312,0.987868,0.7748520000000001,1.664076,0.69634,2.369912,2.32146,6.60274,1.66344,0.987868,0.705396,13.202,4.0535,10.415384,1.438688,0.6779000000000001,1.0,2.0,,7.0,5.0,,,5.0,6.0,,,,,1.0,3.0,,,,,,,,6.9532,66.0,66.0,7.90395875,7.0,6.0
8,day1,mindfulness,all,all,,,,1.359,383688,27.783,100.673,15.811,6.3,12.652,3.724,3.397,11.175,1.612,5.503,2.251,0.538,0.735,409.0,25.0,0.715592,0.986028,0.756268,1.6103239999999999,0.639244,2.540828,2.237092,6.711867999999999,1.609716,0.986028,0.6634680000000001,12.621212,3.925888,10.501164000000001,1.49038,0.556984,1.0,1.0,,,,,,,,,,,,,,8.0,6.0,4.0,6.0,0.0,0.0,6.0,8.0116,,66.0,,8.0,7.0
8,day2,jhana,all,all,,,,0.57,391336,1.199,81.201,34.935,15.229,0.891,0.669,1.332,11.727,1.886,5.231,1.864,0.286,0.753,333.0,25.0,0.603853125,0.986603125,0.713859375,1.336021875,0.596896875,3.46886875,2.51780625,6.824171875,1.33545625,0.986603125,0.599840625,27.718325,4.064903125,5.62185,1.07605625,0.86495,2.0,2.0,,8.0,9.0,,,8.0,7.0,8.0,,,,,2.0,,,,,,,,7.90165,,66.0,,8.0,8.0
8,day2,mindfulness,all,all,,,,0.276,385784,0.816,86.186,32.913,14.886,6.062,3.977,1.524,11.735,1.461,5.186,1.659,0.223,0.563,371.0,32.0,0.5765857142857144,0.9810107142857143,0.6733035714285714,1.2981178571428573,0.5032607142857143,3.582153571428571,2.24035,7.302835714285714,1.2975428571428573,0.9810107142857143,0.5709892857142858,24.967664285714285,3.644632142857143,7.825271428571428,1.072417857142857,0.386625,2.0,1.0,,,,,,,,,,,,,,9.0,7.0,2.0,1.0,0.0,0.0,6.0,8.28605,,66.0,,9.0,8.0
8,day3,jhana,all,all,,,,2.074,391456,7.04,88.681,18.188,7.167,7.266,1.18,6.156,12.912,1.287,4.755,2.225,0.193,0.693,264.0,28.0,0.7143464285714286,0.9848821428571428,0.7597785714285715,1.5871607142857143,0.6719142857142858,2.540907142857143,2.379778571428571,6.681535714285714,1.586517857142857,0.9848821428571428,0.40515357142857145,12.59430357142857,3.2027714285714284,8.462567857142856,1.2402214285714286,0.6368357142857143,1.0,2.0,,6.0,6.0,,,,5.0,6.0,,,,2.0,1.0,,,,,,,,7.51016,,66.0,,6.0,6.0
8,day3,mindfulness,all,all,,,,2.938,390840,14.773,94.056,17.233,8.172,15.029,9.861,1.524,11.163,1.607,5.424,1.379,0.181,0.439,477.0,28.0,0.6003793103448276,0.9808103448275862,0.6949344827586207,1.3821344827586206,0.5117206896551724,3.2062586206896553,2.113462068965517,7.1209310344827585,1.3815206896551724,0.9808103448275862,0.6713620689655172,16.99526896551724,3.2680000000000002,7.728831034482758,1.1779344827586207,0.3713896551724138,1.0,1.0,,,,,,,,,,,,,,9.0,7.0,4.0,3.0,0.0,0.0,6.0,7.94653,,66.0,,9.0,8.0
8,day4,jhana,all,all,,,,2.039,386488,5.651,90.789,16.853,7.513,12.131,1.928,6.293,11.939,0.69,5.075,1.3,0.085,0.492,353.0,29.0,0.501759375,0.98048125,0.6354625,1.1785125,0.412915625,4.117375,1.9680125,7.399246875,1.17793125,0.98048125,0.62285,26.196728125,3.415690625,6.9840656249999995,1.0496343750000001,0.354359375,2.0,1.0,,1.0,2.0,,,,6.0,7.0,,,,2.0,2.0,,,,,,,,8.48303,,66.0,,1.0,1.0
8,day4,mindfulness,all,all,,,,5.098,389768,14.379,83.048,21.502,9.632,14.336,4.734,3.028,11.137,0.809,5.496,2.241,0.155,0.623,418.0,32.0,0.5134172413793103,0.9806103448275862,0.6496206896551724,1.1881862068965516,0.4288689655172414,3.99841724137931,2.0553379310344826,7.382648275862069,1.1876310344827585,0.9806103448275862,0.3907689655172414,22.5268,3.3186310344827588,7.059168965517242,1.0451724137931033,0.34321724137931037,2.0,2.0,,,,,,,,,,,,,,6.0,4.0,2.0,1.0,0.0,0.0,6.0,8.13945,,66.0,,6.0,5.0
9,day1,jhana,all,all,,,,2.671,385232,5.105,86.12,36.448,28.746,15.871,5.016,3.164,8.266,0.889,7.392,1.102,0.065,1.023,397.0,29.0,0.5615230769230769,0.9792423076923077,0.6467346153846154,1.3362769230769231,0.45447692307692306,3.4919846153846157,1.8772807692307691,7.212711538461538,1.335673076923077,0.9792423076923077,0.4061,12.949457692307693,1.9508692307692308,2.7388115384615386,0.6081769230769231,0.2096346153846154,1.0,2.0,7.0,4.0,5.0,7.0,,5.5,2.0,2.0,4.0,,3.0,3.0,2.0,,,,,,,,7.69075,51.0,51.0,8.0372975,4.0,4.75
9,day1,mindfulness,all,all,,,,5.015,385192,18.056,89.612,31.93,19.963,4.675,0.519,9.01,7.615,1.111,7.919,0.531,0.063,0.575,374.0,26.0,0.5250900000000001,0.9676166666666667,0.61352,1.19573,0.39549666666666666,4.074236666666667,1.91272,7.822946666666667,1.1951433333333334,0.9676166666666667,0.49881,17.690436666666663,2.7180833333333334,8.11668,0.85607,0.21094,1.0,1.0,,,,,,,,,,,,,,6.0,4.0,2.0,1.0,0.0,0.0,8.0,7.73661,,51.0,,6.0,5.0
9,day2,jhana,all,all,,,,4.517,388472,5.045,85.536,37.364,24.294,11.158,2.038,5.474,7.753,0.458,7.826,0.819,0.046,0.841,264.0,30.0,0.6718999999999999,0.979776,0.7065359999999999,1.533408,0.564992,2.788284,2.038708,7.019743999999999,1.5327799999999998,0.979776,0.675928,8.57024,2.163176,4.73512,0.746284,0.22946000000000003,2.0,1.0,,3.0,4.0,3.0,,,1.0,2.0,4.0,,2.0,,4.0,,,,,,,,8.15819,,51.0,,3.0,3.0
9,day2,mindfulness,all,all,,,,8.858,384048,0.665,77.592,40.453,35.543,10.241,2.563,3.996,7.398,0.495,8.162,0.598,0.04,0.644,357.0,25.0,0.588236,0.9761320000000001,0.631696,1.35792,0.465736,3.379704,1.9673640000000001,7.667684,1.357312,0.9761320000000001,0.586088,9.73144,2.1236520000000003,5.447424,0.550996,0.138832,2.0,2.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,4.0,8.164,,51.0,,0.0,
9,day3,jhana,all,all,,,,7.7,389728,3.446,78.611,49.753,45.541,7.567,1.736,4.359,7.384,1.51,8.176,0.58,0.083,0.65,418.0,25.0,0.6992461538461539,0.9832,0.7328038461538462,1.60035,0.6209807692307692,2.621426923076923,2.0475846153846153,6.7707423076923074,1.5997307692307694,0.9832,0.8246692307692308,6.517438461538461,1.6325884615384614,1.6536,0.50785,0.19769615384615385,1.0,2.0,8.0,4.0,,,,5.0,,,,,,1.0,5.0,,,,,,,,8.09032,,51.0,,4.0,4.5
9,day3,mindfulness,all,all,,,,5.5,387632,28.085,84.569,41.841,33.135,10.582,1.524,6.942,8.049,1.543,7.506,0.663,0.063,0.636,464.0,26.0,0.6425814814814814,0.9722333333333333,0.6722888888888889,1.4560444444444445,0.5235111111111111,2.954214814814815,2.0356148148148145,7.33127037037037,1.4554555555555555,0.9722333333333333,0.661462962962963,7.718696296296296,2.095314814814815,7.746362962962963,0.8109407407407407,0.20945925925925926,1.0,1.0,,,,,,,,,,,,,,8.0,,1.5,0.0,0.0,0.0,5.0,8.40437,,51.0,,8.0,8.0
9,day4,jhana,all,all,,,,3.995,388112,20.784,88.819,46.468,27.292,11.355,1.128,10.065,7.596,1.234,7.995,0.832,0.095,0.886,400.0,27.0,0.6899620689655173,0.9795241379310344,0.7177724137931034,1.5718827586206898,0.5920689655172414,2.6594172413793102,2.0359275862068964,6.895306896551724,1.571251724137931,0.9795241379310344,0.7290344827586207,5.3952620689655175,1.636251724137931,4.469189655172414,0.6380586206896551,0.19971724137931035,1.0,1.0,4.0,4.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,,,,,,,,,7.87727,,51.0,,4.0,4.0
9,day4,mindfulness,all,all,,,,6.175,389784,15.668,79.884,48.335,28.734,8.4,0.354,23.754,7.928,1.197,7.895,4.067,0.093,0.903,290.0,29.0,0.6209535714285714,0.9735964285714286,0.6622928571428571,1.4226107142857143,0.4985214285714286,3.1118214285714285,1.972,7.441357142857143,1.4220142857142857,0.9735964285714286,0.6427392857142857,6.748385714285715,1.7702000000000002,4.895775,0.5500464285714285,0.13937857142857143,1.0,2.0,,,,,,,,,,,,,,9.0,2.0,0.0,0.0,0.0,0.0,9.0,8.17687,,51.0,,9.0,5.5
10,control,control,all,all,,,,9.406,385000,2.288,68.834,27.808,11.523,2.636,0.296,8.907,7.043,1.293,9.149,2.252,0.218,2.235,355.0,25.0,0.614256,0.967528,0.690252,1.40256,0.495612,3.1586200000000004,1.980812,7.3778880000000004,1.401928,0.967528,0.529664,8.155692,2.727324,7.793352,0.782012,0.288236,,,,,,,,,,,,,,,,6.0,7.0,2.0,3.0,0.0,0.0,2.0,,51.0,51.0,,,
11,control,control,all,all,,,,8.031,385792,3.743,65.883,44.077,21.801,11.579,0.839,13.807,7.782,0.782,9.036,3.574,0.204,3.126,380.0,24.0,0.7020791666666667,0.9805958333333334,0.7474,1.5948458333333333,0.6115875000000001,2.6502,2.0424916666666664,6.955191666666667,1.5942166666666668,0.9805958333333334,0.7566333333333333,5.0375625,3.8481791666666667,4.1239875,0.7124458333333333,0.31574583333333334,,,,,,,,,,,,,,,,6.0,5.0,7.0,5.0,0.0,0.0,5.0,,41.0,41.0,,,
20,control,control,all,all,,,,16.668,401752,1.131,60.004,38.05,48.901,6.038,18.163,0.332,10.286,0.573,5.933,1.308,0.081,0.792,289.0,29.0,0.5298241379310344,0.9663620689655172,0.6463413793103449,1.2075655172413793,0.3995206896551724,3.894058620689655,1.957141379310345,7.951541379310345,1.2069862068965518,0.9663620689655172,0.5405310344827586,10.225906896551725,3.636651724137931,6.531265517241379,0.8964275862068966,0.15395862068965518,,,,,,,,,,,,,,,,9.0,6.0,4.0,2.0,0.0,0.0,5.0,,59.0,59.0,,,
21,control,control,all,all,,,,4.962,391608,4.865,63.574,61.432,31.956,4.676,1.185,3.947,11.123,0.979,5.515,1.768,0.151,0.789,385.0,29.0,0.5346689655172414,0.9223827586206896,0.6182241379310345,1.134196551724138,0.3665793103448276,3.409520689655172,2.008210344827586,8.529758620689655,1.1336620689655172,0.9223827586206896,0.5061103448275862,11.9722,12.344455172413792,21.524472413793102,1.5342310344827585,0.361651724137931,,,,,,,,,,,,,,,,8.0,6.0,8.0,6.0,0.0,0.0,6.0,,65.0,65.0,,,
22,control,control,all,all,,,,5.284,390632,0.581,72.366,25.861,8.884,1.201,0.373,3.218,19.123,0.331,3.219,2.892,0.095,0.566,438.0,23.0,0.5163260869565217,0.9377652173913044,0.6090608695652174,1.1276478260869565,0.3539608695652174,3.7546521739130436,1.9170478260869566,8.764347826086956,1.127095652173913,0.9377652173913044,0.5909260869565217,13.513760869565218,13.236899999999999,15.554108695652175,1.3879565217391305,0.21126521739130433,,,,,,,,,,,,,,,,9.0,3.0,5.0,0.0,1.0,0.0,9.0,,93.0,93.0,,,
12,control,control,all,all,,,,5.005,385528,23.842,75.457,28.408,25.223,1.047,1.227,0.853,20.528,0.159,3.256,6.621,0.07,1.15,401.0,26.0,0.7727461538461539,0.9880807692307693,0.7834423076923076,1.6838961538461539,0.7678,2.258369230769231,2.3293423076923077,6.612923076923077,1.6832461538461538,0.9880807692307693,0.7963461538461539,17.766107692307692,5.568134615384616,16.528076923076924,1.8010692307692306,1.0501423076923078,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,6.0,1.0,,99.0,99.0,,,
13,control,control,all,all,,,,4.761,408104,0.58,91.51,19.12,7.356,2.437,1.023,2.382,11.316,0.701,5.899,3.732,0.097,1.938,416.0,26.0,0.8151769230769231,0.9868615384615385,0.8031192307692308,1.805619230769231,0.7826230769230769,2.1115076923076925,2.149023076923077,6.206753846153846,1.804980769230769,0.9868615384615385,0.781473076923077,5.886269230769231,1.1967653846153845,6.3800346153846155,0.9330307692307692,0.5154576923076923,,,,,,,,,,,,,,,,8.0,,6.0,0.0,0.0,0.0,,,59.0,59.0,,,
14,control,control,all,all,,,,11.82,407856,7.971,70.623,63.808,45.074,1.101,1.206,0.913,16.269,1.017,3.736,1.93,0.408,0.421,458.0,29.0,0.5612896551724138,0.9354758620689655,0.6691413793103449,1.204596551724138,0.39861034482758617,3.3290310344827585,2.0857655172413794,7.83873448275862,1.2040241379310344,0.9354758620689655,0.5857206896551724,11.267975862068965,3.373162068965517,4.363393103448276,1.2946448275862068,0.28133448275862066,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,0.0,0.0,10.0,,48.0,48.0,,,
